,spec,doc_id,NOUN,VERB,ADJ,ADV,doc_len
42,flang,doc_0,80,32,31,1,149
43,flang,doc_1,59,21,33,5,120
44,flang,doc_2,104,43,44,9,207
45,flang,doc_3,79,30,38,8,156
46,flang,doc_4,157,87,86,21,364
47,flang,doc_5,101,41,34,4,185
48,flang,doc_6,79,43,40,7,174
49,flang,doc_7,107,51,40,3,203
50,flang,doc_8,149,62,62,6,284
51,flang,doc_9,146,48,91,10,301
52,flang,doc_10,79,37,24,6,150
53,flang,doc_11,153,46,53,6,265
54,flang,doc_12,175,87,76,8,351
55,flang,doc_13,93,45,40,8,186
56,flang,doc_14,203,41,114,7,371
57,flang,doc_15,104,40,49,9,205
58,flang,doc_16,86,44,43,8,184
59,flang,doc_17,129,33,48,5,216
60,flang,doc_18,140,72,74,22,326
61,flang,doc_19,85,45,39,10,184
62,flang,doc_20,100,43,44,8,198
63,flang,doc_21,238,102,108,18,484
64,flang,doc_22,275,147,114,19,570
65,flang,doc_23,56,24,25,0,106
66,flang,doc_24,80,36,40,5,163
67,flang,doc_25,119,59,55,1,238
68,flang,doc_26,184,55,104,20,373
69,flang,doc_27,239,76,131,14,470
70,flang,doc_28,141,43,68,6,261
71,flang,doc_29,123,44,60,5,235
72,flang,doc_30,93,32,50,8,184
73,flang,doc_31,175,64,91,23,366
74,flang,doc_32,139,59,65,5,276
75,flang,doc_33,164,68,71,15,333
76,flang,doc_34,113,47,50,8,226
77,flang,doc_35,67,21,25,2,115
78,flang,doc_36,263,72,81,7,431
79,flang,doc_37,186,62,89,12,360
80,flang,doc_38,74,42,27,14,169
81,flang,doc_39,86,20,42,2,150
