,spec,doc_id,NOUN,VERB,ADJ,ADV,doc_len
110,hist,doc_0,64,26,25,2,123
111,hist,doc_1,379,114,159,24,688
112,hist,doc_2,168,69,64,15,329
113,hist,doc_3,175,69,59,8,320
114,hist,doc_4,160,23,70,6,259
115,hist,doc_5,208,76,113,27,433
116,hist,doc_6,166,55,76,12,316
117,hist,doc_7,200,70,72,9,355
118,hist,doc_8,220,80,81,22,417
119,hist,doc_9,159,53,55,16,291
120,hist,doc_10,209,79,94,11,407
121,hist,doc_11,151,40,60,5,260
122,hist,doc_12,182,51,71,23,336
123,hist,doc_13,119,46,51,4,224
124,hist,doc_14,165,69,74,15,327
125,hist,doc_15,31,12,17,6,66
126,hist,doc_16,138,43,67,5,257
127,hist,doc_17,63,22,22,2,110
128,hist,doc_18,229,49,94,13,390
