,spec,doc_id,NOUN,VERB,ADJ,ADV,doc_len
82,ling,doc_0,199,56,87,3,349
83,ling,doc_1,197,73,74,10,359
84,ling,doc_2,106,40,36,12,199
85,ling,doc_3,101,50,35,18,208
86,ling,doc_4,132,32,65,11,243
87,ling,doc_5,83,40,43,7,177
88,ling,doc_6,115,93,38,21,279
89,ling,doc_7,131,43,55,9,243
90,ling,doc_8,314,127,108,29,597
91,ling,doc_9,90,36,42,6,179
92,ling,doc_10,235,116,91,19,466
93,ling,doc_11,80,39,38,6,168
94,ling,doc_12,191,75,78,17,374
95,ling,doc_13,81,38,43,5,174
96,ling,doc_14,125,22,53,3,204
97,ling,doc_15,125,46,35,3,212
98,ling,doc_16,140,77,56,16,294
99,ling,doc_17,103,51,46,19,227
100,ling,doc_18,526,219,205,50,1022
101,ling,doc_19,113,51,53,26,253
102,ling,doc_20,153,81,60,27,329
103,ling,doc_21,81,34,38,4,162
104,ling,doc_22,119,31,58,12,221
105,ling,doc_23,227,109,82,16,456
106,ling,doc_24,135,89,54,29,313
107,ling,doc_25,102,34,53,6,197
108,ling,doc_26,129,74,49,26,292
109,ling,doc_27,105,51,49,10,219
