,spec,doc_id,NOUN,VERB,ADJ,ADV,doc_len
0,phil,doc_0,189,73,61,11,338
1,phil,doc_1,70,41,31,1,146
2,phil,doc_2,127,45,63,18,260
3,phil,doc_3,95,33,33,7,172
4,phil,doc_4,122,41,51,7,228
5,phil,doc_5,119,45,57,9,233
6,phil,doc_6,147,50,67,13,283
7,phil,doc_7,102,46,48,11,219
8,phil,doc_8,82,41,30,10,167
9,phil,doc_9,157,89,52,24,334
10,phil,doc_10,197,56,75,7,342
11,phil,doc_11,158,46,56,10,273
12,phil,doc_12,215,77,80,13,395
13,phil,doc_13,157,52,67,10,293
14,phil,doc_14,64,38,20,6,132
15,phil,doc_15,194,65,113,11,388
16,phil,doc_16,107,53,32,9,208
17,phil,doc_17,150,101,70,25,354
18,phil,doc_18,130,71,63,12,283
19,phil,doc_19,156,78,65,10,322
20,phil,doc_20,167,105,86,26,401
21,phil,doc_21,78,23,36,1,139
22,phil,doc_22,155,71,65,19,316
23,phil,doc_23,182,84,95,26,401
24,phil,doc_24,97,51,46,18,221
25,phil,doc_25,81,35,29,11,161
26,phil,doc_26,103,36,57,4,202
27,phil,doc_27,173,64,56,12,312
28,phil,doc_28,138,83,54,19,307
29,phil,doc_29,149,51,61,7,276
30,phil,doc_30,194,55,72,4,330
31,phil,doc_31,172,69,75,10,329
32,phil,doc_32,309,117,134,27,604
33,phil,doc_33,224,91,87,8,410
34,phil,doc_34,232,96,89,27,460
35,phil,doc_35,162,52,61,13,300
36,phil,doc_36,125,35,57,8,228
37,phil,doc_37,103,46,50,3,207
38,phil,doc_38,244,116,101,21,490
39,phil,doc_39,90,43,52,11,204
40,phil,doc_40,403,145,169,27,761
41,phil,doc_41,94,41,43,13,202
