"rank";"lex";"num";"ipm"
"1";"и";"14991055";"38490.82494149472"
"2";"в";"11792583";"30278.472586555563"
"3";"не";"6795227";"17447.33061780631"
"4";"на";"5973869";"15338.42320653364"
"5";"я";"5167575";"13268.193912772957"
"6";"он";"5160408";"13249.792022955617"
"7";"быть";"5024474";"12900.769769512004"
"8";"что";"4835344";"12415.162204121516"
"9";"с";"4410281";"11323.776339543834"
"10";"а";"2906005";"7461.418141292149"
"11";"как";"2611425";"6705.058618145478"
"12";"то";"2342682";"6015.037817924806"
"13";"она";"2331545";"5986.442611158276"
"14";"к";"2285302";"5867.709725596215"
"15";"этот";"2192755";"5630.087331717966"
"16";"это";"2168946";"5568.955673470294"
"17";"по";"2168693";"5568.30607417857"
"18";"но";"2140155";"5495.032301106536"
"19";"они";"1994418";"5120.840000798211"
"20";"мы";"1825275";"4686.5507794539335"
"21";"свой";"1794646";"4607.9081837771755"
"22";"который";"1781001";"4572.873470988336"
"23";"из";"1739953";"4467.479195388754"
"24";"весь";"1687848";"4333.695119913308"
"25";"у";"1628934";"4182.42835045624"
"26";"за";"1546619";"3971.0774978938857"
"27";"от";"1531804";"3933.038709329089"
"28";"так";"1415572";"3634.603037883696"
"29";"о";"1396678";"3586.09106548118"
"30";"же";"1348070";"3461.2858387138726"
"31";"вы";"1213806";"3116.551454112866"
"32";"для";"1194439";"3066.8250134693"
"33";"мочь";"1184483";"3041.2621259261937"
"34";"ты";"1168183";"2999.4104719534503"
"35";"один";"1157258";"2971.359593447179"
"36";"его";"1150467";"2953.9231160159584"
"37";"тот";"1140221";"2927.6156284941962"
"38";"год";"1136554";"2918.2002901433953"
"39";"человек";"1126104";"2891.36901505044"
"40";"всё";"1096082";"2814.2849441565936"
"41";"только";"1046534";"2687.066186423987"
"42";"такой";"1002827";"2574.844699295969"
"43";"бы";"984144";"2526.8744875675784"
"44";"себя";"972235";"2496.297104306143"
"45";"сказать";"956984";"2457.138848187228"
"46";"еще";"935427";"2401.789393911742"
"47";"или";"851032";"2185.0979621921297"
"48";"мой";"847746";"2176.660874158116"
"49";"говорить";"835357";"2144.851049552697"
"50";"до";"821979";"2110.5018822614484"
"51";"другой";"796504";"2045.0926255157035"
"52";"время";"795276";"2041.9396297440148"
"53";"когда";"790974";"2030.8938741985705"
"54";"уже";"785590";"2017.0699904568985"
"55";"наш";"738760";"1896.8299318345937"
"56";"да";"679307";"1744.1792334516788"
"57";"если";"672575";"1726.8942436023224"
"58";"знать";"669628";"1719.3275672674959"
"59";"вот";"647718";"1663.0717550869556"
"60";"сам";"646219";"1659.222943473143"
"61";"ни";"618798";"1588.8171641120023"
"62";"дело";"602543";"1547.0810515152575"
"63";"день";"599967";"1540.466949635884"
"64";"при";"582224";"1494.9102688727928"
"65";"стать";"580038";"1489.2975255854053"
"66";"чтобы";"577561";"1482.9376147332282"
"67";"самый";"572983";"1471.1832054149938"
"68";"жизнь";"552534";"1418.6786365752007"
"69";"очень";"545774";"1401.321754314112"
"70";"нет";"545147";"1399.7118778085348"
"71";"во";"537614";"1380.3702514664076"
"72";"даже";"533411";"1369.5786869481597"
"73";"два";"530259";"1361.4856554560072"
"74";"рука";"520580";"1336.633989271824"
"75";"ее";"511173";"1312.480706515898"
"76";"первый";"496566";"1274.9759758668265"
"77";"ли";"470905";"1209.0891481002889"
"78";"под";"459356";"1179.43609584684"
"79";"со";"456929";"1173.2045643013278"
"80";"где";"451262";"1158.654053683933"
"81";"кто";"450370";"1156.3637668530318"
"82";"новый";"448447";"1151.4262987187017"
"83";"слово";"445107";"1142.8505610334892"
"84";"какой";"436235";"1120.0709368588768"
"85";"раз";"433472";"1112.976696372577"
"86";"их";"421879";"1083.2106703292632"
"87";"теперь";"421734";"1082.8383703399352"
"88";"идти";"415623";"1067.1478514793562"
"89";"без";"414915";"1065.330000496982"
"90";"иметь";"410822";"1054.8208704533968"
"91";"после";"409367";"1051.0850326294494"
"92";"ничто";"408517";"1048.902584416147"
"93";"там";"404317";"1038.118722656299"
"94";"должен";"389224";"999.3661451464452"
"95";"видеть";"389086";"999.0118182600502"
"96";"большой";"387965";"996.1335542046243"
"97";"место";"387780";"995.6585507699641"
"98";"хотеть";"382621";"982.412373908284"
"99";"глаз";"379669";"974.832859642791"
"100";"можно";"377979";"970.4936390775189"
"101";"лицо";"358489";"920.4513853395576"
"102";"потом";"349615";"897.6666259926789"
"103";"ну";"339512";"871.7263032879779"
"104";"много";"338099";"868.098304081629"
"105";"более";"337688";"867.0430261808439"
"106";"здесь";"337621";"866.870997909913"
"107";"дом";"337257";"865.9363965573928"
"108";"работа";"331342";"850.7491245789403"
"109";"каждый";"328587";"843.6754247817066"
"110";"надо";"328414";"843.2312323806462"
"111";"русский";"326052";"837.1665939337984"
"112";"все";"323117";"829.6307286325713"
"113";"друг";"322384";"827.7486879968644"
"114";"тут";"321346";"825.083533590502"
"115";"несколько";"319253";"819.7095758135112"
"116";"тогда";"315705";"810.5997802125729"
"117";"думать";"315578";"810.2736967736442"
"118";"голова";"315284";"809.5188264504548"
"119";"сторона";"313380";"804.6301424526571"
"120";"сделать";"310407";"796.9967088783646"
"121";"потому";"308731";"792.6934345189587"
"122";"жить";"306371";"786.6339312443774"
"123";"через";"301271";"773.539241964562"
"124";"делать";"298173";"765.5848601236074"
"125";"стоять";"295883";"759.7050878783571"
"126";"хорошо";"293044";"752.4157108459265"
"127";"между";"288441";"740.5971118743598"
"128";"дать";"285432";"732.8712451992686"
"129";"последний";"284712";"731.0225831832947"
"130";"какой-то";"282323";"724.8886199108479"
"131";"город";"281893";"723.7845578735302"
"132";"об";"276825";"710.7720313499801"
"133";"сила";"276672";"710.3791906715858"
"134";"казаться";"275426";"707.1799783494974"
"135";"пойти";"271991";"698.3603199816218"
"136";"тоже";"266407";"684.0229190132907"
"137";"ваш";"265647";"682.0715535519847"
"138";"сейчас";"264456";"679.0135584672279"
"139";"вопрос";"263259";"675.9401578656713"
"140";"случай";"261001";"670.1425483766862"
"141";"ведь";"256731";"659.1789555875075"
"142";"мир";"256012";"657.3328611576668"
"143";"перед";"253538";"650.9806530638898"
"144";"смотреть";"253333";"650.4542979065639"
"145";"земля";"250720";"643.7451953402584"
"146";"три";"249969";"641.8169381541522"
"147";"россия";"247717";"636.0347341819671"
"148";"час";"242666";"623.0658566226833"
"149";"над";"242244";"621.9823352744319"
"150";"хотя";"241084";"619.0039353598072"
"151";"всегда";"240967";"618.7035277822115"
"152";"ребенок";"238611";"612.6542948521633"
"153";"часть";"237594";"610.0430597546001"
"154";"взять";"236509";"607.2572287999728"
"155";"всякий";"236098";"606.2019508991876"
"156";"вид";"236032";"606.0324902143901"
"157";"отец";"235861";"605.5934329855962"
"158";"москва";"235858";"605.5857302271963"
"159";"конец";"228447";"586.5573493933313"
"160";"прийти";"228430";"586.5137004290652"
"161";"бог";"228341";"586.2851852632018"
"162";"чем";"227766";"584.8088232365559"
"163";"сидеть";"224811";"577.2216062126629"
"164";"конечно";"224038";"575.2368621316241"
