,rank,lex,num
0,1,и,14991055
1,2,в,11792583
2,3,не,6795227
3,4,на,5973869
4,5,я,5167575
5,6,он,5160408
6,7,быть,5024474
7,8,что,4835344
8,9,с,4410281
9,10,а,2906005
10,11,как,2611425
11,12,то,2342682
12,13,она,2331545
13,14,к,2285302
14,15,этот,2192755
15,16,это,2168946
16,17,по,2168693
17,18,но,2140155
18,19,они,1994418
19,20,мы,1825275
20,21,свой,1794646
21,22,который,1781001
22,23,из,1739953
23,24,весь,1687848
24,25,у,1628934
25,26,за,1546619
26,27,от,1531804
27,28,так,1415572
28,29,о,1396678
29,30,же,1348070
30,31,вы,1213806
31,32,для,1194439
32,33,мочь,1184483
33,34,ты,1168183
34,35,один,1157258
35,36,его,1150467
36,37,тот,1140221
37,38,год,1136554
38,39,человек,1126104
39,40,всё,1096082
40,41,только,1046534
41,42,такой,1002827
42,43,бы,984144
43,44,себя,972235
44,45,сказать,956984
45,46,еще,935427
46,47,или,851032
47,48,мой,847746
48,49,говорить,835357
49,50,до,821979
50,51,другой,796504
51,52,время,795276
52,53,когда,790974
53,54,уже,785590
54,55,наш,738760
55,56,да,679307
56,57,если,672575
57,58,знать,669628
58,59,вот,647718
59,60,сам,646219
60,61,ни,618798
61,62,дело,602543
62,63,день,599967
63,64,при,582224
64,65,стать,580038
65,66,чтобы,577561
66,67,самый,572983
67,68,жизнь,552534
68,69,очень,545774
69,70,нет,545147
70,71,во,537614
71,72,даже,533411
72,73,два,530259
73,74,рука,520580
74,75,ее,511173
75,76,первый,496566
76,77,ли,470905
77,78,под,459356
78,79,со,456929
79,80,где,451262
80,81,кто,450370
81,82,новый,448447
82,83,слово,445107
83,84,какой,436235
84,85,раз,433472
85,86,их,421879
86,87,теперь,421734
87,88,идти,415623
88,89,без,414915
89,90,иметь,410822
90,91,после,409367
91,92,ничто,408517
92,93,там,404317
93,94,должен,389224
94,95,видеть,389086
95,96,большой,387965
96,97,место,387780
97,98,хотеть,382621
98,99,глаз,379669
99,100,можно,377979
100,101,лицо,358489
101,102,потом,349615
102,103,ну,339512
103,104,много,338099
104,105,более,337688
105,106,здесь,337621
106,107,дом,337257
107,108,работа,331342
108,109,каждый,328587
109,110,надо,328414
110,111,русский,326052
111,112,все,323117
112,113,друг,322384
113,114,тут,321346
114,115,несколько,319253
115,116,тогда,315705
116,117,думать,315578
117,118,голова,315284
118,119,сторона,313380
119,120,сделать,310407
120,121,потому,308731
121,122,жить,306371
122,123,через,301271
123,124,делать,298173
124,125,стоять,295883
125,126,хорошо,293044
126,127,между,288441
127,128,дать,285432
128,129,последний,284712
129,130,какой-то,282323
130,131,город,281893
131,132,об,276825
132,133,сила,276672
133,134,казаться,275426
134,135,пойти,271991
135,136,тоже,266407
136,137,ваш,265647
137,138,сейчас,264456
138,139,вопрос,263259
139,140,случай,261001
140,141,ведь,256731
141,142,мир,256012
142,143,перед,253538
143,144,смотреть,253333
144,145,земля,250720
145,146,три,249969
146,147,россия,247717
147,148,час,242666
148,149,над,242244
149,150,хотя,241084
150,151,всегда,240967
151,152,ребенок,238611
152,153,часть,237594
153,154,взять,236509
154,155,всякий,236098
155,156,вид,236032
156,157,отец,235861
157,158,москва,235858
158,159,конец,228447
159,160,прийти,228430
160,161,бог,228341
161,162,чем,227766
162,163,сидеть,224811
163,164,конечно,224038
164,165,что-то,223854
165,166,писать,222387
166,167,никто,221576
167,168,вода,219775
168,169,спросить,218769
169,170,хороший,217242
170,171,почти,216261
171,172,получить,215227
