filename,ru_title,ru_author,gpt_description,eng_title,eng_author
./data/845010375.jpg,Золотая осень,Исаак Ильич Левитан,a painting of a river in the fall,Golden Autumn,Isaac Ilyich Levittan
./data/669860839.jpg,Поздняя осень,Исаак Ильич Левитан,a painting of a field with a barn in the background,Late autumn,Isaac Ilyich Levittan
./data/741052246.jpg,Зимой в лесу. 1885,Исаак Ильич Левитан,a painting of a deer in the snow,In winter in the woods. 1885,Isaac Ilyich Levittan
./data/884368896.jpg,Март,Исаак Ильич Левитан,a painting of a snowy scene with a house and a horse,March,Isaac Ilyich Levittan
./data/628277587.jpg,Вечерние тени. 1891-1894,Исаак Ильич Левитан,a painting of a green field with trees and water,Evening shadows. 1891-1894,Isaac Ilyich Levittan
./data/640197753.jpg,Весна – большая вода,Исаак Ильич Левитан,a painting of a boat in a river,Spring — Large Water,Isaac Ilyich Levittan
./data/240075683.jpg,Над вечным покоем,Исаак Ильич Левитан,a painting of a house on a hill overlooking the water,Over the Eternal Peace,Isaac Ilyich Levittan
./data/168197631.jpg,Вечерний звон,Исаак Ильич Левитан,a painting of a river with a boat in the water,Evening bell,Isaac Ilyich Levittan
./data/733197021.jpg,Васильки. 1894,Исаак Ильич Левитан,a painting of blue flowers in a vase,Vasilki. 1894,Isaac Ilyich Levittan
./data/642944335.jpg,Осенний пейзаж с церковью. 1890-е,Исаак Ильич Левитан,a painting of a tree in the fore of a fog,Autumn landscape with the church. 1890s.,Isaac Ilyich Levittan
./data/105630493.jpg,Сумерки. Стога,Исаак Ильич Левитан,a painting of hay stacks in a field,Twilight.,Isaac Ilyich Levittan
./data/644042968.jpg,Лесистый берег. Сумерки. 1892,Исаак Ильич Левитан,a painting of a river in the woods,Woody shore. 1892 Twilight.,Isaac Ilyich Levittan
./data/592929077.jpg,Деревня. Зима. 1877-1878,Исаак Ильич Левитан,a painting of a snowy landscape,"The village, winter. 1877-1878.",Isaac Ilyich Levittan
./data/131311035.jpg,Березовая роща. 1878,Исаак Ильич Левитан,a painting of birch trees in the woods,Berez grove. 1878.,Isaac Ilyich Levittan
./data/535250854.jpg,Дуб. 1880,Исаак Ильич Левитан,a painting of a tree in the woods,Oak. 1880,Isaac Ilyich Levittan
./data/540222167.jpg,Владимирка,Исаак Ильич Левитан,a painting of a dirt road with a cloudy sky,Vladimirka,Isaac Ilyich Levittan
./data/216592407.jpg,Осенний день. Сокольники,Исаак Ильич Левитан,a painting of a woman walking down a path,Autumn Day.,Isaac Ilyich Levittan
./data/338980102.jpg,На даче в сумерки. 1890-е,Исаак Ильич Левитан,a painting of a house in the night,At the twilight house. 1890s.,Isaac Ilyich Levittan
./data/811199951.jpg,Осень. Усадьба. 1894,Исаак Ильич Левитан,a painting of a house in the woods,Autumn. 1894.,Isaac Ilyich Levittan
./data/733691406.jpg,Октябрь . 1891,Исаак Ильич Левитан,a painting of trees in a field,October 1891,Isaac Ilyich Levittan
./data/135540771.jpg,После дождя. Плёс,Исаак Ильич Левитан,a painting of boats on the water,After the rain.,Isaac Ilyich Levittan
./data/752120971.jpg,Лесное озеро,Исаак Ильич Левитан,a painting of a lake with trees and grass,Forest lake,Isaac Ilyich Levittan
./data/613418579.jpg,Осень. Долина реки. 1896,Исаак Ильич Левитан,a painting of a field with trees and water,"Autumn, the valley of the river.",Isaac Ilyich Levittan
./data/844488525.jpg,Июньский день . 1890-е,Исаак Ильич Левитан,a painting of a field with flowers and trees,June Day . 1890th,Isaac Ilyich Levittan
./data/114062500.jpg,У омута. 1892,Исаак Ильич Левитан,a painting of a bridge over a river,At the omen. 1892.,Isaac Ilyich Levittan
./data/369934082.jpg,Сумерки. Луна,Исаак Ильич Левитан,a painting of a river with a full moon,Twilight.,Isaac Ilyich Levittan
./data/834545898.jpg,Летний вечер,Исаак Ильич Левитан,a painting of a road with a gate,Summer evening,Isaac Ilyich Levittan
./data/870718383.jpg,Березовая роща. 1885-1889,Исаак Ильич Левитан,a painting of trees in a forest,Berez grove. 1885-1889,Isaac Ilyich Levittan
./data/576147460.jpg,Деревня. Зима. 1888,Исаак Ильич Левитан,a drawing of a snowy landscape with trees and a house,"The village, winter, 1888.",Isaac Ilyich Levittan
./data/163995361.jpg,Весна в Италии2. 1890,Исаак Ильич Левитан,a painting of a mountain road with pink flowers,Spring in Italy.2 1890,Isaac Ilyich Levittan
./data/399871826.jpg,Туман. Осень. 1899,Исаак Ильич Левитан,a painting of trees in the fog,Autumn 1899,Isaac Ilyich Levittan
./data/365264892.jpg,Белая сирень. 1895,Исаак Ильич Левитан,a painting of white flowers in a blue vase,White liquor. 1895,Isaac Ilyich Levittan
./data/238565063.jpg,Ненюфары. 1895,Исаак Ильич Левитан,a painting of water lils and lily leaves,Nunfares. 1895.,Isaac Ilyich Levittan
./data/303192138.jpg,Весна. Белая сирень. 1890-е,Исаак Ильич Левитан,a painting of a house with flowers in front,"Spring, white lime. 1890s.",Isaac Ilyich Levittan
./data/670327758.jpg,Лес зимой. 1880-е,Исаак Ильич Левитан,a painting of snow covered trees in the woods,The forest in winter. 1880s.,Isaac Ilyich Levittan
./data/906066894.jpg,В лесу осенью. 1894,Исаак Ильич Левитан,a painting of a forest with trees and flowers,In the woods in the fall. 1894.,Isaac Ilyich Levittan
./data/108843994.jpg,Лунная ночь. Большая дорога. 1897-1898,Исаак Ильич Левитан,a painting of trees in the night,"Moon night, big road, 1897-1898.",Isaac Ilyich Levittan
./data/791864013.jpg,На Волге. 1887-1888,Исаак Ильич Левитан,a painting of boats on the shore of a lake,On Volga. 1887-1888.,Isaac Ilyich Levittan
./data/970117187.jpg,На озере Комо. Набережная. 1894,Исаак Ильич Левитан,a painting of a boat on a river,"At Lake Como, the waterfront, 1894.",Isaac Ilyich Levittan
./data/558102416.jpg,Разлив. 1895,Исаак Ильич Левитан,a painting of a lake with a cloudy sky,The spill. 1895.,Isaac Ilyich Levittan
./data/509295654.jpg,В Крымских горах,Исаак Ильич Левитан,a painting of rocks and trees in a rocky landscape,In the Crimean Mountains,Isaac Ilyich Levittan
./data/756488037.jpg,Большая дорога. Осенний солнечный день. 1897,Исаак Ильич Левитан,a painting of trees in a park,"It's a big road, autumn sunny day, 1897.",Isaac Ilyich Levittan
./data/746902465.jpg,Туман над водой. 1890-е,Исаак Ильич Левитан,a painting of a landscape with a moon in the sky,The fog above the water. 1890s.,Isaac Ilyich Levittan
./data/303109741.jpg,Перед грозой. 1890,Исаак Ильич Левитан,a painting of clouds over a field,Before the storm. 1890.,Isaac Ilyich Levittan
./data/249386596.jpg,Бульвар зимой. 1883,Исаак Ильич Левитан,a painting of a person walking through a snowy forest,Bulwar in the winter. 1883.,Isaac Ilyich Levittan
./data/982366943.jpg,Зимний пейзаж с мельницей. 1884,Исаак Ильич Левитан,a painting of a snowy scene with a barn and a stream,The winter landscape with the mill. 1884,Isaac Ilyich Levittan
